week_start_date,dengue_cases,feature_missing_count,all_candidate_features_available,core_features_available,missing_features
2000-03-12,14.0,9,False,True,dengue_cases_lag12; precip_sum_mm_lag12; temperature_c_mean_lag12; relative_humidity_pct_mean_lag12; specific_humidity_kgkg_mean_lag12; wind_speed_ms_mean_lag12; surface_pressure_hpa_mean_lag12; ndvi_mean_weekly_lag8; ndvi_mean_weekly_lag12
2000-03-19,16.0,9,False,True,dengue_cases_lag12; precip_sum_mm_lag12; temperature_c_mean_lag12; relative_humidity_pct_mean_lag12; specific_humidity_kgkg_mean_lag12; wind_speed_ms_mean_lag12; surface_pressure_hpa_mean_lag12; ndvi_mean_weekly_lag8; ndvi_mean_weekly_lag12
2000-03-26,14.0,2,False,True,ndvi_mean_weekly_lag8; ndvi_mean_weekly_lag12
2000-04-02,12.0,2,False,True,ndvi_mean_weekly_lag8; ndvi_mean_weekly_lag12
2000-04-09,17.0,1,False,True,ndvi_mean_weekly_lag12
2000-04-16,4.0,1,False,True,ndvi_mean_weekly_lag12
2000-04-23,2.0,1,False,True,ndvi_mean_weekly_lag12
2000-05-07,3.0,20,False,False,dengue_cases_lag1; dengue_cases_prev4w_mean; dengue_cases_prev8w_mean; dengue_cases_prev4w_std; dengue_recent_change_1v4; precip_sum_mm_lag1; temperature_c_mean_lag1; relative_humidity_pct_mean_lag1; specific_humidity_kgkg_mean_lag1; wind_speed_ms_mean_lag1; surface_pressure_hpa_mean_lag1; ndvi_mean_weekly_lag1; precip_sum_mm_prev4w_sum; precip_sum_mm_prev8w_sum; temperature_c_mean_prev4w_mean; relative_humidity_pct_mean_prev4w_mean; specific_humidity_kgkg_mean_prev4w_mean; wind_speed_ms_mean_prev4w_mean; surface_pressure_hpa_mean_prev4w_mean; ndvi_mean_weekly_prev4w_mean
2000-05-14,2.0,19,False,False,dengue_cases_lag2; dengue_cases_prev4w_mean; dengue_cases_prev8w_mean; dengue_cases_prev4w_std; precip_sum_mm_lag2; temperature_c_mean_lag2; relative_humidity_pct_mean_lag2; specific_humidity_kgkg_mean_lag2; wind_speed_ms_mean_lag2; surface_pressure_hpa_mean_lag2; ndvi_mean_weekly_lag2; precip_sum_mm_prev4w_sum; precip_sum_mm_prev8w_sum; temperature_c_mean_prev4w_mean; relative_humidity_pct_mean_prev4w_mean; specific_humidity_kgkg_mean_prev4w_mean; wind_speed_ms_mean_prev4w_mean; surface_pressure_hpa_mean_prev4w_mean; ndvi_mean_weekly_prev4w_mean
2000-05-21,1.0,11,False,False,dengue_cases_prev4w_mean; dengue_cases_prev8w_mean; dengue_cases_prev4w_std; precip_sum_mm_prev4w_sum; precip_sum_mm_prev8w_sum; temperature_c_mean_prev4w_mean; relative_humidity_pct_mean_prev4w_mean; specific_humidity_kgkg_mean_prev4w_mean; wind_speed_ms_mean_prev4w_mean; surface_pressure_hpa_mean_prev4w_mean; ndvi_mean_weekly_prev4w_mean
2000-05-28,2.0,20,False,False,dengue_cases_lag4; dengue_cases_prev4w_mean; dengue_cases_prev8w_mean; dengue_cases_prev4w_std; dengue_recent_change_1v4; precip_sum_mm_lag4; temperature_c_mean_lag4; relative_humidity_pct_mean_lag4; specific_humidity_kgkg_mean_lag4; wind_speed_ms_mean_lag4; surface_pressure_hpa_mean_lag4; ndvi_mean_weekly_lag4; precip_sum_mm_prev4w_sum; precip_sum_mm_prev8w_sum; temperature_c_mean_prev4w_mean; relative_humidity_pct_mean_prev4w_mean; specific_humidity_kgkg_mean_prev4w_mean; wind_speed_ms_mean_prev4w_mean; surface_pressure_hpa_mean_prev4w_mean; ndvi_mean_weekly_prev4w_mean
2000-06-04,1.0,2,False,True,dengue_cases_prev8w_mean; precip_sum_mm_prev8w_sum
2000-06-18,1.0,20,False,False,dengue_cases_lag1; dengue_cases_prev4w_mean; dengue_cases_prev8w_mean; dengue_cases_prev4w_std; dengue_recent_change_1v4; precip_sum_mm_lag1; temperature_c_mean_lag1; relative_humidity_pct_mean_lag1; specific_humidity_kgkg_mean_lag1; wind_speed_ms_mean_lag1; surface_pressure_hpa_mean_lag1; ndvi_mean_weekly_lag1; precip_sum_mm_prev4w_sum; precip_sum_mm_prev8w_sum; temperature_c_mean_prev4w_mean; relative_humidity_pct_mean_prev4w_mean; specific_humidity_kgkg_mean_prev4w_mean; wind_speed_ms_mean_prev4w_mean; surface_pressure_hpa_mean_prev4w_mean; ndvi_mean_weekly_prev4w_mean
2000-07-02,13.0,20,False,False,dengue_cases_lag1; dengue_cases_prev4w_mean; dengue_cases_prev8w_mean; dengue_cases_prev4w_std; dengue_recent_change_1v4; precip_sum_mm_lag1; temperature_c_mean_lag1; relative_humidity_pct_mean_lag1; specific_humidity_kgkg_mean_lag1; wind_speed_ms_mean_lag1; surface_pressure_hpa_mean_lag1; ndvi_mean_weekly_lag1; precip_sum_mm_prev4w_sum; precip_sum_mm_prev8w_sum; temperature_c_mean_prev4w_mean; relative_humidity_pct_mean_prev4w_mean; specific_humidity_kgkg_mean_prev4w_mean; wind_speed_ms_mean_prev4w_mean; surface_pressure_hpa_mean_prev4w_mean; ndvi_mean_weekly_prev4w_mean
2000-07-16,3.0,20,False,False,dengue_cases_lag1; dengue_cases_prev4w_mean; dengue_cases_prev8w_mean; dengue_cases_prev4w_std; dengue_recent_change_1v4; precip_sum_mm_lag1; temperature_c_mean_lag1; relative_humidity_pct_mean_lag1; specific_humidity_kgkg_mean_lag1; wind_speed_ms_mean_lag1; surface_pressure_hpa_mean_lag1; ndvi_mean_weekly_lag1; precip_sum_mm_prev4w_sum; precip_sum_mm_prev8w_sum; temperature_c_mean_prev4w_mean; relative_humidity_pct_mean_prev4w_mean; specific_humidity_kgkg_mean_prev4w_mean; wind_speed_ms_mean_prev4w_mean; surface_pressure_hpa_mean_prev4w_mean; ndvi_mean_weekly_prev4w_mean
2000-07-23,2.0,36,False,False,dengue_cases_lag2; dengue_cases_lag4; dengue_cases_lag12; dengue_cases_prev4w_mean; dengue_cases_prev8w_mean; dengue_cases_prev4w_std; dengue_recent_change_1v4; precip_sum_mm_lag2; precip_sum_mm_lag4; precip_sum_mm_lag12; temperature_c_mean_lag2; temperature_c_mean_lag4; temperature_c_mean_lag12; relative_humidity_pct_mean_lag2; relative_humidity_pct_mean_lag4; relative_humidity_pct_mean_lag12; specific_humidity_kgkg_mean_lag2; specific_humidity_kgkg_mean_lag4; specific_humidity_kgkg_mean_lag12; wind_speed_ms_mean_lag2; wind_speed_ms_mean_lag4; wind_speed_ms_mean_lag12; surface_pressure_hpa_mean_lag2; surface_pressure_hpa_mean_lag4; surface_pressure_hpa_mean_lag12; ndvi_mean_weekly_lag2; ndvi_mean_weekly_lag4; ndvi_mean_weekly_lag12; precip_sum_mm_prev4w_sum; precip_sum_mm_prev8w_sum; temperature_c_mean_prev4w_mean; relative_humidity_pct_mean_prev4w_mean; specific_humidity_kgkg_mean_prev4w_mean; wind_speed_ms_mean_prev4w_mean; surface_pressure_hpa_mean_prev4w_mean; ndvi_mean_weekly_prev4w_mean
2000-07-30,3.0,11,False,False,dengue_cases_prev4w_mean; dengue_cases_prev8w_mean; dengue_cases_prev4w_std; precip_sum_mm_prev4w_sum; precip_sum_mm_prev8w_sum; temperature_c_mean_prev4w_mean; relative_humidity_pct_mean_prev4w_mean; specific_humidity_kgkg_mean_prev4w_mean; wind_speed_ms_mean_prev4w_mean; surface_pressure_hpa_mean_prev4w_mean; ndvi_mean_weekly_prev4w_mean
2000-08-06,5.0,28,False,False,dengue_cases_lag4; dengue_cases_lag8; dengue_cases_prev4w_mean; dengue_cases_prev8w_mean; dengue_cases_prev4w_std; dengue_recent_change_1v4; precip_sum_mm_lag4; precip_sum_mm_lag8; temperature_c_mean_lag4; temperature_c_mean_lag8; relative_humidity_pct_mean_lag4; relative_humidity_pct_mean_lag8; specific_humidity_kgkg_mean_lag4; specific_humidity_kgkg_mean_lag8; wind_speed_ms_mean_lag4; wind_speed_ms_mean_lag8; surface_pressure_hpa_mean_lag4; surface_pressure_hpa_mean_lag8; ndvi_mean_weekly_lag4; ndvi_mean_weekly_lag8; precip_sum_mm_prev4w_sum; precip_sum_mm_prev8w_sum; temperature_c_mean_prev4w_mean; relative_humidity_pct_mean_prev4w_mean; specific_humidity_kgkg_mean_prev4w_mean; wind_speed_ms_mean_prev4w_mean; surface_pressure_hpa_mean_prev4w_mean; ndvi_mean_weekly_prev4w_mean
2000-08-13,1.0,2,False,True,dengue_cases_prev8w_mean; precip_sum_mm_prev8w_sum
2000-08-20,4.0,10,False,True,dengue_cases_lag8; dengue_cases_prev8w_mean; precip_sum_mm_lag8; temperature_c_mean_lag8; relative_humidity_pct_mean_lag8; specific_humidity_kgkg_mean_lag8; wind_speed_ms_mean_lag8; surface_pressure_hpa_mean_lag8; ndvi_mean_weekly_lag8; precip_sum_mm_prev8w_sum
2000-08-27,5.0,2,False,True,dengue_cases_prev8w_mean; precip_sum_mm_prev8w_sum
2000-09-03,7.0,18,False,True,dengue_cases_lag8; dengue_cases_lag12; dengue_cases_prev8w_mean; precip_sum_mm_lag8; precip_sum_mm_lag12; temperature_c_mean_lag8; temperature_c_mean_lag12; relative_humidity_pct_mean_lag8; relative_humidity_pct_mean_lag12; specific_humidity_kgkg_mean_lag8; specific_humidity_kgkg_mean_lag12; wind_speed_ms_mean_lag8; wind_speed_ms_mean_lag12; surface_pressure_hpa_mean_lag8; surface_pressure_hpa_mean_lag12; ndvi_mean_weekly_lag8; ndvi_mean_weekly_lag12; precip_sum_mm_prev8w_sum
2000-09-17,11.0,8,False,True,dengue_cases_lag12; precip_sum_mm_lag12; temperature_c_mean_lag12; relative_humidity_pct_mean_lag12; specific_humidity_kgkg_mean_lag12; wind_speed_ms_mean_lag12; surface_pressure_hpa_mean_lag12; ndvi_mean_weekly_lag12
2000-10-01,5.0,8,False,True,dengue_cases_lag12; precip_sum_mm_lag12; temperature_c_mean_lag12; relative_humidity_pct_mean_lag12; specific_humidity_kgkg_mean_lag12; wind_speed_ms_mean_lag12; surface_pressure_hpa_mean_lag12; ndvi_mean_weekly_lag12
