week_start_date,calendar_year,calendar_month,iso_year,iso_week,country,adm1_name,adm2_name,case_definition,dengue_cases,precip_sum_mm,precip_mean_daily_mm,precip_max_daily_mm,precip_min_daily_mm,rain_days,precip_calendar_days_present,precip_days_observed,precip_mean_valid_grid_cells,precip_rain_day_threshold_mm,precip_missing_days,precip_week_complete,temp_humidity_week_end_date,temperature_c_mean,temperature_c_min,temperature_c_max,dewpoint_c_mean,dewpoint_c_min,dewpoint_c_max,relative_humidity_pct_mean,relative_humidity_pct_min,relative_humidity_pct_max,specific_humidity_kgkg_mean,specific_humidity_kgkg_min,specific_humidity_kgkg_max,temp_humidity_observations_6hourly,temp_humidity_week_complete,wind_week_end_date,u_wind_ms_mean,u_wind_ms_min,u_wind_ms_max,v_wind_ms_mean,v_wind_ms_min,v_wind_ms_max,wind_speed_ms_mean,wind_speed_ms_min,wind_speed_ms_max,wind_observations_6hourly,wind_week_complete,pressure_week_end_date,surface_pressure_hpa_mean,surface_pressure_hpa_min,surface_pressure_hpa_max,pressure_observations_6hourly,pressure_week_complete,ndvi_week_end_date,ndvi_observation_date,ndvi_age_days,ndvi_mean_weekly,ndvi_median_weekly,ndvi_std_weekly,ndvi_min_weekly,ndvi_max_weekly,valid_pixel_count,valid_pixel_fraction_of_max,low_valid_pixel_coverage,ndvi_available,ndvi_within_age_limit,ndvi_stale,modis_image_id,has_precipitation_data,has_temp_humidity_data,has_wind_data,has_pressure_data,has_ndvi_data
2000-01-02,2000,1,1999,52,Peru,Loreto,Maynas,Probable and confirmed,7,35.8358,5.1194,14.342100000000002,0.0,5.0,7,7,100.0,1.0,0,True,2000-01-08,27.561438818292327,22.05615680401144,36.70261770395132,16.702211166214173,13.72692495492788,18.92692072941708,54.38406600270952,25.69999995598426,72.60384559631348,0.0120796991862704,0.0099445769491677,0.013861269224435,28,True,2000-01-08,0.0413324165715743,-0.7942307751912338,0.9911538454202504,-0.9409203280357048,-2.1611538529396057,0.1534615399029392,1.156433879605721,0.484164005963397,2.1998448451341126,28,True,2000-01-08,990.3912087912088,987.5153846153848,992.9653846153848,28,True,2000-01-08,,,,,,,,,,,False,False,False,,True,True,True,True,False
2000-01-09,2000,1,2000,1,Peru,Loreto,Maynas,Probable and confirmed,7,26.1429,3.7347,8.3016,0.5887,6.0,7,7,100.0,1.0,0,True,2000-01-15,27.150855950994828,21.0743863619291,36.75930762657754,17.910370350932048,14.979999014047507,20.00384380634017,60.34162090112875,28.43846159714919,82.93846159714919,0.0130708750125,0.0108094999853235,0.0147783077465227,28,True,2000-01-15,-0.4481456037764283,-1.588076921609732,0.2192307653335424,-0.6425274722533976,-2.419999984594492,0.6884615435623206,1.0009205140060042,0.0756754599391871,2.5570089467043364,28,True,2000-01-15,990.517032967033,987.8923076923076,992.7192307692308,28,True,2000-01-15,,,,,,,,,,,False,False,False,,True,True,True,True,False
2000-01-16,2000,1,2000,2,Peru,Loreto,Maynas,Probable and confirmed,16,49.76469999999999,7.109242857142855,17.060999999999993,0.0458,5.0,7,7,100.0,1.0,0,True,2000-01-22,24.97625180757965,21.468732158954367,35.41342256986178,19.964862337217248,14.063846059945943,23.458460646409264,78.1546704349937,27.77307693774884,99.77692325298602,0.0150335370601349,0.0101843076543166,0.018312615270798,28,True,2000-01-22,-0.2846016495304366,-1.61192308480923,0.8426923035429075,-0.5379532961236252,-2.344230766479785,0.3026923146098852,0.9375397345297496,0.0134615325727142,2.497134272410934,28,True,2000-01-22,993.6737637362636,987.9615384615385,996.4307692307692,28,True,2000-01-22,,,,,,,,,,,False,False,False,,True,True,True,True,False
2000-01-23,2000,1,2000,3,Peru,Loreto,Maynas,Probable and confirmed,9,55.2929,7.898985714285715,15.883200000000002,2.5269,7.0,7,7,100.0,1.0,0,True,2000-01-29,24.556329932579647,20.917307692307705,32.68500319260818,22.24940995436452,20.511542452298727,24.26576913686904,88.84986261221079,50.11153822678786,99.53846124502329,0.0170251950429711,0.0152558845181304,0.0191882307856128,28,True,2000-01-29,-0.1861401097234953,-1.1161538477127368,0.8188461500864762,-0.1645879112670177,-1.484230771732445,0.9915384655961624,0.7559371953480729,0.270506046361774,1.606748023819631,28,True,2000-01-29,993.6142857142858,990.4846153846152,996.2076923076924,28,True,2000-01-29,,,,,,,,,,,False,False,False,,True,True,True,True,False
2000-01-30,2000,1,2000,4,Peru,Loreto,Maynas,Probable and confirmed,18,52.4254,7.489342857142857,18.0175,0.8598,6.0,7,7,100.0,1.0,0,True,2000-02-05,23.493141023405325,20.5969623272236,29.508228947566124,21.978571143517154,20.56192227877108,23.69615501990688,92.32225288663592,65.44230725215031,99.8500008216271,0.0167026345766466,0.0152523076663223,0.0186173460947779,28,True,2000-02-05,0.089780221230115,-2.373846168701465,1.306538455761396,-0.3942032971158419,-1.226538470874612,0.6184615383211237,1.0814423300341918,0.3445151354055414,2.6719921880862705,28,True,2000-02-05,995.2854395604396,990.8115384615384,997.696153846154,28,True,2000-02-05,,,,,,,,,,,False,False,False,,True,True,True,True,False
2000-02-06,2000,2,2000,5,Peru,Loreto,Maynas,Probable and confirmed,10,23.1343,3.3048999999999995,9.7899,0.1268,5.0,7,7,100.0,1.0,0,True,2000-02-12,25.02431074708376,21.844498619666467,34.94915161132815,21.061332090608392,17.011537757286703,23.79499676044173,82.2079671084226,34.2461539048415,99.76153887235202,0.0158599532787575,0.012246038334874,0.0185723075499901,28,True,2000-02-12,-0.2342719774677899,-0.8480769264010283,0.8523076830001978,-0.1863598904986916,-2.167692331167368,0.9503846168518066,0.8597604421861001,0.1629121952751402,2.1843952245640432,28,True,2000-02-12,994.4818681318682,989.7884615384615,997.653846153846,28,True,2000-02-12,,,,,,,,,,,False,False,False,,True,True,True,True,False
