FAO_GAUL_code,n_adm1,n_adm2,adm1_examples,adm2_examples
1011897,1,2,LORETO,"MAYNAS, PUTUMAYO"
1011992,1,2,LORETO,"ALTO AMAZONAS, DATEM DEL MARANON"
