source,filename_pattern,duplicate_rows,unique_duplicate_timestamps,unique_files,first_duplicate_timestamp,last_duplicate_timestamp,median_file_size_bytes
CFSR,ipvh06.gdas.20100711-20100715.grb2.nc.gz,20,20,1,2010-07-11 06:00:00,2010-07-16,6572.0
CFSR,ipvh06.gdas.20100716-20100720.grb2.nc.gz,20,20,1,2010-07-16 06:00:00,2010-07-21,6529.0
CFSR,ipvh06.gdas.20100721-20100725.grb2.nc.gz,20,20,1,2010-07-21 06:00:00,2010-07-26,6490.0
CFSR,ipvh06.gdas.20100801-20100805.grb2.nc.gz,20,20,1,2010-08-01 06:00:00,2010-08-06,6494.0
CFSR,ipvh06.gdas.20100806-20100810.grb2.nc.gz,20,20,1,2010-08-06 06:00:00,2010-08-11,6550.0
CFSR,ipvh06.gdas.20100811-20100815.grb2.nc.gz,20,20,1,2010-08-11 06:00:00,2010-08-16,6559.0
CFSR,ipvh06.gdas.20100816-20100820.grb2.nc.gz,20,20,1,2010-08-16 06:00:00,2010-08-21,6526.0
CFSR,ipvh06.gdas.20100821-20100825.grb2.nc.gz,20,20,1,2010-08-21 06:00:00,2010-08-26,6521.0
CFSR,ipvh06.gdas.20100901-20100905.grb2.nc.gz,20,20,1,2010-09-01 06:00:00,2010-09-06,6562.0
CFSR,ipvh06.gdas.20100906-20100910.grb2.nc.gz,20,20,1,2010-09-06 06:00:00,2010-09-11,6475.0
CFSR,ipvh06.gdas.20100911-20100915.grb2.nc.gz,20,20,1,2010-09-11 06:00:00,2010-09-16,6525.0
CFSR,ipvh06.gdas.20100916-20100920.grb2.nc.gz,20,20,1,2010-09-16 06:00:00,2010-09-21,6557.0
CFSR,ipvh06.gdas.20100921-20100925.grb2.nc.gz,20,20,1,2010-09-21 06:00:00,2010-09-26,6539.0
CFSR,ipvh06.gdas.20100926-20100930.grb2.nc.gz,20,20,1,2010-09-26 06:00:00,2010-10-01,6590.0
CFSR,ipvh06.gdas.20101001-20101005.grb2.nc.gz,20,20,1,2010-10-01 06:00:00,2010-10-06,6524.0
CFSR,ipvh06.gdas.20101006-20101010.grb2.nc.gz,20,20,1,2010-10-06 06:00:00,2010-10-11,6541.0
CFSR,ipvh06.gdas.20101011-20101015.grb2.nc.gz,20,20,1,2010-10-11 06:00:00,2010-10-16,6539.0
CFSR,ipvh06.gdas.20101016-20101020.grb2.nc.gz,20,20,1,2010-10-16 06:00:00,2010-10-21,6511.0
CFSR,ipvh06.gdas.20101021-20101025.grb2.nc.gz,20,20,1,2010-10-21 06:00:00,2010-10-26,6524.0
CFSR,ipvh06.gdas.20101101-20101105.grb2.nc.gz,20,20,1,2010-11-01 06:00:00,2010-11-06,6548.0
CFSR,ipvh06.gdas.20101106-20101110.grb2.nc.gz,20,20,1,2010-11-06 06:00:00,2010-11-11,6530.0
CFSR,ipvh06.gdas.20101111-20101115.grb2.nc.gz,20,20,1,2010-11-11 06:00:00,2010-11-16,6565.0
