adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID,region
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,15/04/2001,21/04/2001,2001,31,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,22/04/2001,28/04/2001,2001,26,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,29/04/2001,05/05/2001,2001,37,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,06/05/2001,12/05/2001,2001,22,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,13/05/2001,19/05/2001,2001,25,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,20/05/2001,26/05/2001,2001,12,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,27/05/2001,02/06/2001,2001,6,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,03/06/2001,09/06/2001,2001,3,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,10/06/2001,16/06/2001,2001,3,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,17/06/2001,23/06/2001,2001,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,08/07/2001,14/07/2001,2001,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,15/07/2001,21/07/2001,2001,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,26/08/2001,01/09/2001,2001,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,02/09/2001,08/09/2001,2001,2,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,09/09/2001,15/09/2001,2001,4,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,16/09/2001,22/09/2001,2001,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,23/09/2001,29/09/2001,2001,6,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,30/09/2001,06/10/2001,2001,2,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,11/11/2001,17/11/2001,2001,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,28/04/2002,04/05/2002,2002,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,14/07/2002,20/07/2002,2002,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,21/07/2002,27/07/2002,2002,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,01/09/2002,07/09/2002,2002,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,08/09/2002,14/09/2002,2002,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,13/10/2002,19/10/2002,2002,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,20/10/2002,26/10/2002,2002,2,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,27/10/2002,02/11/2002,2002,4,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,03/11/2002,09/11/2002,2002,3,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,10/11/2002,16/11/2002,2002,4,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,01/12/2002,07/12/2002,2002,1,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,29/12/2002,04/01/2003,2002,4,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,05/01/2003,11/01/2003,2003,8,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,12/01/2003,18/01/2003,2003,11,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,19/01/2003,25/01/2003,2003,12,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,26/01/2003,01/02/2003,2003,5,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,02/02/2003,08/02/2003,2003,6,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,09/02/2003,15/02/2003,2003,5,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
PERU,AMAZONAS,BAGUA,"PERU, AMAZONAS, BAGUA",PER,1012057,PE-AMA,NA,16/02/2003,22/02/2003,2003,3,Probable and confirmed,Admin2,Week,MOH-PER-20002023-Y02-00,PAHO
