week_start_date,forecast_origin_week_start_date,forecast_horizon_weeks,target_calendar_year,target_calendar_month,target_iso_year,target_iso_week,dengue_cases,week_sin,week_cos,dengue_cases_lag1,dengue_cases_lag2,dengue_cases_lag4,dengue_cases_lag8,dengue_cases_lag12,dengue_cases_prev4w_mean,dengue_cases_prev8w_mean,dengue_cases_prev4w_std,dengue_recent_change_1v4,precip_sum_mm_lag1,precip_sum_mm_lag2,precip_sum_mm_lag4,precip_sum_mm_lag8,precip_sum_mm_lag12,temperature_c_mean_lag1,temperature_c_mean_lag2,temperature_c_mean_lag4,temperature_c_mean_lag8,temperature_c_mean_lag12,relative_humidity_pct_mean_lag1,relative_humidity_pct_mean_lag2,relative_humidity_pct_mean_lag4,relative_humidity_pct_mean_lag8,relative_humidity_pct_mean_lag12,specific_humidity_kgkg_mean_lag1,specific_humidity_kgkg_mean_lag2,specific_humidity_kgkg_mean_lag4,specific_humidity_kgkg_mean_lag8,specific_humidity_kgkg_mean_lag12,wind_speed_ms_mean_lag1,wind_speed_ms_mean_lag2,wind_speed_ms_mean_lag4,wind_speed_ms_mean_lag8,wind_speed_ms_mean_lag12,surface_pressure_hpa_mean_lag1,surface_pressure_hpa_mean_lag2,surface_pressure_hpa_mean_lag4,surface_pressure_hpa_mean_lag8,surface_pressure_hpa_mean_lag12,ndvi_mean_weekly_lag1,ndvi_mean_weekly_lag2,ndvi_mean_weekly_lag4,ndvi_mean_weekly_lag8,ndvi_mean_weekly_lag12,precip_sum_mm_prev4w_sum,precip_sum_mm_prev8w_sum,temperature_c_mean_prev4w_mean,relative_humidity_pct_mean_prev4w_mean,specific_humidity_kgkg_mean_prev4w_mean,wind_speed_ms_mean_prev4w_mean,surface_pressure_hpa_mean_prev4w_mean,ndvi_mean_weekly_prev4w_mean,qa_prev_precip_week_complete,qa_prev_temp_humidity_week_complete,qa_prev_wind_week_complete,qa_prev_pressure_week_complete,qa_prev_low_valid_pixel_coverage,qa_prev_ndvi_available,qa_prev_ndvi_within_age_limit,qa_prev_ndvi_stale,feature_missing_count,all_candidate_features_available,core_features_available
2000-01-02,1999-12-26,1,2000,1,1999,52,7.0,0.01720192860577051,0.9998520358794305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,False,False
2000-01-09,2000-01-02,1,2000,1,2000,1,7.0,0.13718820325629746,0.9905449999304973,7.0,,,,,,,,,35.8358,,,,,27.561438818292327,,,,,54.38406600270952,,,,,0.0120796991862704,,,,,1.156433879605721,,,,,990.3912087912088,,,,,,,,,,,,,,,,,,True,True,True,True,,False,False,False,45,False,False
2000-01-16,2000-01-09,1,2000,1,2000,2,16.0,0.2551875362954114,0.9668915768169035,7.0,7.0,,,,,,,,26.1429,35.8358,,,,27.150855950994828,27.561438818292327,,,,60.34162090112875,54.38406600270952,,,,0.0130708750125,0.0120796991862704,,,,1.0009205140060042,1.156433879605721,,,,990.517032967033,990.3912087912088,,,,,,,,,,,,,,,,,True,True,True,True,,False,False,False,38,False,False
2000-01-23,2000-01-16,1,2000,1,2000,3,9.0,0.3694909047942504,0.929234346800809,16.0,7.0,,,,,,,,49.76469999999999,26.1429,,,,24.97625180757965,27.150855950994828,,,,78.1546704349937,60.34162090112875,,,,0.0150335370601349,0.0130708750125,,,,0.9375397345297496,1.0009205140060042,,,,993.6737637362636,990.517032967033,,,,,,,,,,,,,,,,,True,True,True,True,,False,False,False,38,False,False
2000-01-30,2000-01-23,1,2000,1,2000,4,18.0,0.4784428156870534,0.8781187118593045,9.0,16.0,7.0,,,9.75,,4.272001872658765,2.0,55.2929,49.76469999999999,35.8358,,,24.556329932579647,24.97625180757965,27.561438818292327,,,88.84986261221079,78.1546704349937,54.38406600270952,,,0.0170251950429711,0.0150335370601349,0.0120796991862704,,,0.7559371953480729,0.9375397345297496,1.156433879605721,,,993.6142857142858,993.6737637362636,990.3912087912088,,,,,,,,167.03629999999998,,26.061219127361614,70.43255498776068,0.0143023265754691,0.9627078308723869,992.0490728021978,,True,True,True,True,,False,False,False,22,False,True
2000-02-06,2000-01-30,1,2000,2,2000,5,10.0,0.5804652828186154,0.8142849964492191,18.0,9.0,7.0,,,12.5,,5.32290647422377,11.0,52.4254,55.2929,26.1429,,,23.493141023405325,24.556329932579647,27.150855950994828,,,92.32225288663592,88.84986261221079,60.34162090112875,,,0.0167026345766466,0.0170251950429711,0.0130708750125,,,1.0814423300341918,0.7559371953480729,1.0009205140060042,,,995.2854395604396,993.6142857142858,990.517032967033,,,,,,,,183.6259,,25.04414467863986,79.9171017087423,0.01545806042306315,0.9439599434795046,993.2726304945055,,True,True,True,True,,False,False,False,22,False,True
2000-02-13,2000-02-06,1,2000,2,2000,6,9.0,0.6740806814338108,0.738657725145909,10.0,18.0,16.0,,,13.25,,4.425306015783918,-6.0,23.1343,52.4254,49.76469999999999,,,25.02431074708376,23.493141023405325,24.97625180757965,,,82.2079671084226,92.32225288663592,78.1546704349937,,,0.0158599532787575,0.0167026345766466,0.0150335370601349,,,0.8597604421861001,1.0814423300341918,0.9375397345297496,,,994.4818681318682,995.2854395604396,993.6737637362636,,,,,,,,180.6173,,24.512508377662094,85.38368826056575,0.016155329989627525,0.9086699255245286,994.2638392857143,,True,True,True,True,,False,False,False,22,False,True
2000-02-20,2000-02-13,1,2000,2,2000,7,7.0,0.7579331491001386,0.6523322324514917,9.0,10.0,9.0,,,11.5,,4.358898943540674,0.0,40.973600000000005,23.1343,55.2929,,,25.02550378317364,25.02431074708376,24.556329932579647,,,77.67115401435684,82.2079671084226,88.84986261221079,,,0.0149695618144635,0.0158599532787575,0.0170251950429711,,,1.0292616359183029,0.8597604421861001,0.7559371953480729,,,994.3307692307692,994.4818681318682,993.6142857142858,,,0.8265190754802241,,,,,171.8262,,24.524821371560595,85.26280915540653,0.016139336178209673,0.931600400871667,994.4280906593407,,True,True,True,True,False,True,True,False,21,False,True
2000-02-27,2000-02-20,1,2000,2,2000,8,3.0,0.8308082231067296,0.5565587987070535,7.0,9.0,18.0,7.0,,11.0,10.375,4.83045891539648,-11.0,93.2822,40.973600000000005,52.4254,35.8358,,23.67181100530941,25.02550378317364,23.493141023405325,27.561438818292327,,94.01497270772744,77.67115401435684,92.32225288663592,54.38406600270952,,0.0172831235865417,0.0149695618144635,0.0167026345766466,0.0120796991862704,,0.8272048641846748,1.0292616359183029,1.0814423300341918,1.156433879605721,,993.7747252747253,994.3307692307692,995.2854395604396,990.3912087912088,,0.8265190754802241,0.8265190754802241,,,,209.81550000000001,376.8518,24.303691639743032,86.5540866792857,0.016203818314102326,0.9494173180808174,994.4682005494506,,True,True,True,True,False,True,True,False,11,False,True
2000-03-05,2000-02-27,1,2000,3,2000,9,5.0,0.8916504299249455,0.4527245418735987,3.0,7.0,10.0,7.0,,7.25,9.875,3.095695936834451,-7.0,109.5978,93.2822,23.1343,26.1429,,23.27435757144469,23.67181100530941,25.02431074708376,27.150855950994828,,95.96373653935862,94.01497270772744,82.2079671084226,60.34162090112875,,0.0172812719944516,0.0172831235865417,0.0158599532787575,0.0130708750125,,0.8845143087957391,0.8272048641846748,0.8597604421861001,1.0009205140060042,,994.3876373626372,993.7747252747253,994.4818681318682,990.517032967033,,0.8265190754802241,0.8265190754802241,,,,266.9879,450.6138,24.248995776752874,87.46445759246637,0.016348477668553574,0.9001853127712043,994.24375,,True,True,True,True,False,True,True,False,11,False,True
