date,year,month,day_of_year,ndvi_mean,ndvi_median,ndvi_std,ndvi_min,ndvi_max,valid_pixel_count,modis_image_id
2000-02-18,2000,2,49,0.8265190754802241,0.8397136757213707,0.08879694937339776,-0.1998,0.9992000000000001,242792,2000_02_18
2000-03-05,2000,3,65,0.786659966854691,0.8085639634823035,0.10383363817757288,-0.1917,0.9992000000000001,203230,2000_03_05
2000-03-21,2000,3,81,0.8001648845998617,0.8477001870029617,0.1415323433856781,-0.1998,0.9994000000000001,272118,2000_03_21
2000-04-06,2000,4,97,0.8022674003772962,0.8477222794725956,0.14925827938535335,-0.2,0.9994000000000001,427282,2000_04_06
2000-04-22,2000,4,113,0.7935674955812915,0.8399570297243613,0.13747477237677944,-0.2,0.9993000000000001,283167,2000_04_22
2000-05-08,2000,5,129,0.7867129621326676,0.8320925985386286,0.1526869905749145,-0.19970000000000002,0.9995,214771,2000_05_08
2000-05-24,2000,5,145,0.7895078588847585,0.839998746592977,0.1572307070509266,-0.2,0.9995,380949,2000_05_24
2000-06-09,2000,6,161,0.8006554128123746,0.839958127305853,0.13988053675595333,-0.2,0.9994000000000001,344529,2000_06_09
2000-06-25,2000,6,177,0.8217386094792561,0.8479619767991571,0.10014554708638379,-0.2,0.9993000000000001,909419,2000_06_25
2000-07-11,2000,7,193,0.7991402150182485,0.8402030208815806,0.12211574342924374,-0.2,0.9993000000000001,602572,2000_07_11
2000-07-27,2000,7,209,0.8152724943258564,0.8397755542049303,0.11144109534976859,-0.2,0.9993000000000001,825498,2000_07_27
2000-08-12,2000,8,225,0.7997143030546893,0.839946368533894,0.13792518545172444,-0.1998,0.9994000000000001,499546,2000_08_12
2000-08-28,2000,8,241,0.8203751862726087,0.8320874990691048,0.08626957514323254,-0.2,0.9979,1222202,2000_08_28
2000-09-13,2000,9,257,0.8164185261703245,0.8398366844596717,0.11204063954980437,-0.2,0.9993000000000001,720739,2000_09_13
2000-09-29,2000,9,273,0.823008795730251,0.8321090334456279,0.0893818995972442,-0.2,0.9994000000000001,1070697,2000_09_29
2000-10-15,2000,10,289,0.8229548388016283,0.8479338117989315,0.09671642451995746,-0.2,0.9994000000000001,904273,2000_10_15
2000-10-31,2000,10,305,0.8392048444117237,0.8633838306447805,0.11174370626432366,-0.2,0.9995,750312,2000_10_31
2000-11-16,2000,11,321,0.8259898321673864,0.8632156241894098,0.1259314572499673,-0.19970000000000002,0.9995,226606,2000_11_16
2000-12-02,2000,12,337,0.8353124269948246,0.8475853590714235,0.09887510616327644,-0.2,0.9991000000000001,1210378,2000_12_02
2000-12-18,2000,12,353,0.837521117795417,0.8711652336121739,0.12238109949556072,-0.2,0.9994000000000001,637203,2000_12_18
2001-01-01,2001,1,1,0.8292570280972313,0.8556915972675694,0.09828132962603942,-0.2,0.9995,702339,2001_01_01
2001-01-17,2001,1,17,0.8124750316436182,0.8241122287921728,0.0820738818433241,-0.2,0.9989,711307,2001_01_17
2001-02-02,2001,2,33,0.8307545243348898,0.831898330103375,0.08048591765364806,-0.1983,0.9991000000000001,764914,2001_02_02
2001-02-18,2001,2,49,0.8083216865271858,0.8322105976428552,0.11865234899454255,-0.1998,0.9995,449457,2001_02_18
