calendar_month,mean_cases,median_cases,max_cases,observations
1,152.94392523364485,36.0,2941,107
2,132.94845360824743,41.0,2517,97
3,80.55238095238096,39.0,733,105
4,50.932038834951456,27.0,362,103
5,33.95283018867924,20.0,251,106
6,25.31,15.5,109,100
7,17.16822429906542,12.0,112,107
8,14.352380952380953,10.0,51,105
9,18.631067961165048,12.0,156,103
10,33.61682242990654,15.0,366,107
11,51.568627450980394,25.0,402,102
12,52.31132075471698,27.0,344,106
