feature,lag_weeks,pearson_r,spearman_rho,abs_spearman
surface_pressure_hpa_mean,7,-0.22702507635176566,-0.3779320391648995,0.3779320391648995
specific_humidity_kgkg_mean,1,0.10428329115612239,0.35040023219266514,0.35040023219266514
relative_humidity_pct_mean,0,0.07144171006991962,0.28389426697208925,0.28389426697208925
temperature_c_mean,11,0.1372396107110645,0.22091639950149633,0.22091639950149633
ndvi_mean_weekly,12,0.036805186469815114,0.15626036017636594,0.15626036017636594
precip_sum_mm,0,-0.0014071090612481267,0.1412224157571237,0.1412224157571237
wind_speed_ms_mean,12,0.20160415298260076,0.1344026897379137,0.1344026897379137
