week_start_date,week_end_date,temperature_c_mean,temperature_c_min,temperature_c_max,dewpoint_c_mean,dewpoint_c_min,dewpoint_c_max,relative_humidity_pct_mean,relative_humidity_pct_min,relative_humidity_pct_max,specific_humidity_kgkg_mean,specific_humidity_kgkg_min,specific_humidity_kgkg_max,observations_6hourly,complete_week
1999-12-27,2000-01-02,27.698989926851738,23.697040029672507,36.17165292593154,17.339951060368485,15.064998685396631,19.37692354642428,56.43028844319857,28.561538476210373,73.93076970027043,0.012575307713212589,0.010831807775852772,0.014223230787767814,8,False
2000-01-03,2000-01-09,27.50445663116793,22.056156804011437,36.70261770395132,17.064587746085717,13.726924954927881,19.365386728140038,55.68626384420709,25.69999995598426,77.28461514986478,0.012373467036113552,0.00994457694916771,0.014235269278287888,28,True
2000-01-10,2000-01-16,27.25180667416082,21.0743863619291,36.75930762657754,17.480177969460982,14.063846059945945,20.00384380634017,58.714560411788604,27.773076937748836,82.93846159714919,0.012737129134340929,0.010184307654316608,0.014778307746522702,28,True
2000-01-17,2000-01-23,24.338295460795333,21.468732158954367,35.41342256986178,20.815398096776295,14.153844745342553,23.458460646409264,84.09436829535515,27.784615296583908,99.77692325298602,0.01575948898219964,0.010219846171541857,0.018312615270798024,28,True
2000-01-24,2000-01-30,24.786453599196232,20.917307692307702,32.68500319260818,22.38239076216146,20.511542452298727,24.26576913686904,88.31620875033704,50.11153822678786,99.46538485013522,0.017170667568999497,0.015255884518130468,0.019188230785612877,28,True
2000-01-31,2000-02-06,23.264656377100703,20.596962327223594,29.508228947566124,21.936496793306816,20.56192227877108,23.794996760441734,93.26936827649126,65.44230725215031,99.8500008216271,0.016647331002117186,0.01525230766632236,0.01857230754999014,28,True
2000-02-07,2000-02-13,25.646634883671044,21.844498619666467,35.03330735426687,20.342018982604333,15.826916973407492,23.63076993502108,76.56098911788438,31.630769582895134,99.76153887235202,0.015206712901919753,0.01137673081113742,0.01847076924661031,28,True
2000-02-14,2000-02-20,24.349700064187548,21.48238408015328,34.83061312161959,20.70456039093355,16.357695124699546,24.353845214843773,83.1629122351552,33.280768834627594,99.80000099769005,0.015537067293445323,0.011816461498920735,0.019195115480285425,28,True
2000-02-21,2000-02-27,23.665480158879234,21.490346820537866,30.39761563814608,22.49328287983991,20.815386023888266,25.084614445613,93.99079688564761,67.05769304128793,99.92692360511192,0.01727177881748303,0.015495615330739664,0.020196692373317022,28,True
2000-02-28,2000-03-05,23.243199501456814,20.286309814453148,27.812578406700766,22.552033116267303,20.142310274564352,25.41538625863882,96.36826948543171,75.80384635925293,99.9538465646597,0.01733615661710296,0.014886923098506836,0.020561769174841735,28,True
2000-03-06,2000-03-12,23.208702020330765,20.878382521409264,29.285960036057702,21.640178529508837,20.607692777193506,23.396154315655053,91.80480783588283,63.17307692307692,99.92692331167368,0.016350912104186776,0.015328653801519137,0.01829534597121752,28,True
2000-03-13,2000-03-19,24.93653443724247,21.618845778245202,31.349077430138266,22.58732132964084,21.19615149864785,24.73846177321218,88.98997264379985,57.70000017606295,99.72307674701398,0.01738955494998903,0.015855538551337443,0.019823615367595967,28,True
2000-03-20,2000-03-26,23.725340933328166,20.74277062049282,29.60761413574221,22.35041215498372,20.530768526517477,24.146155489408102,93.16085184537448,67.3730778327355,99.86153910710262,0.017141733492550614,0.015236423135950016,0.019093000115110323,28,True
2000-03-27,2000-04-02,22.612350899832613,20.741154362605187,28.13257751464846,21.745055121117918,20.457693011944116,23.973075045072164,95.26112646584981,75.4076925424429,99.88846177321214,0.01645289284975401,0.015172346136890925,0.018882076972379133,28,True
2000-04-03,2000-04-09,22.972633420504078,20.725500018780053,28.70238882211538,22.068434050842978,20.403847092848594,24.523074575570945,95.32541235724648,67.44230783902682,99.9461543743427,0.016800934054817144,0.015068846217428263,0.019487999881116245,28,True
2000-04-10,2000-04-16,23.908199410910157,21.837733107346764,31.09715130145736,22.343681477976393,21.17615661621096,23.68846106896035,92.21730784531478,55.523076864389274,99.83076975895808,0.017072530225390098,0.015886461541343194,0.018552269141834516,28,True
2000-04-17,2000-04-23,24.015725288810327,21.10757892315206,29.726038771409264,22.876648217505174,20.657693481445335,25.23846294696517,94.13186814758804,64.06538435129019,99.94615408090445,0.017658332410104737,0.015312307693350773,0.02043799991504504,28,True
2000-04-24,2000-04-30,22.964528278728128,20.68819110576925,29.598154860276452,22.04258268586884,20.492310509314905,24.676926598182092,95.37733535452205,64.09230789771446,99.96153846153847,0.016764791225656293,0.015164730676378194,0.019732307714338485,28,True
2000-05-01,2000-05-07,23.35478996025339,20.85957782451925,28.42722942645736,22.593131868131895,20.753847327599203,25.27307692307693,96.07623639473549,75.4230767763578,99.9576926598182,0.017374237638560462,0.015459653813965045,0.020462961652531073,28,True
2000-05-08,2000-05-14,22.989707125150264,21.19223233736483,28.894464111328148,22.260439543671687,20.946156193659874,24.13076876126803,96.2601649263403,69.22307571998009,99.97307733389047,0.016973843421930306,0.01567023079125927,0.019030730777348463,28,True
2000-05-15,2000-05-21,22.92121247511646,20.988999352088342,29.662920203575766,22.28956039764071,20.946155019906882,24.63461514986483,96.84697825568063,63.73846127436711,99.95769295325645,0.017001421665414594,0.015650577019326962,0.01964438441567696,28,True
2000-05-22,2000-05-28,21.966637596717273,19.712229567307702,28.888807795597984,21.171978181273094,19.09999882624703,23.419227952223594,96.00384635191698,65.61538505554199,99.96538485013522,0.015863542567815754,0.013929384509817911,0.018230807645103105,28,True
