week_start_date,week_end_date,surface_pressure_hpa_mean,surface_pressure_hpa_min,surface_pressure_hpa_max,observations_6hourly,complete_week
1999-12-26,2000-01-01,990.6480769230769,988.7384615384616,992.9423076923076,4,False
2000-01-02,2000-01-08,990.3912087912088,987.5153846153847,992.9653846153847,28,True
2000-01-09,2000-01-15,990.517032967033,987.8923076923077,992.7192307692308,28,True
2000-01-16,2000-01-22,993.6737637362637,987.9615384615385,996.4307692307692,28,True
2000-01-23,2000-01-29,993.6142857142858,990.4846153846153,996.2076923076924,28,True
2000-01-30,2000-02-05,995.2854395604396,990.8115384615385,997.696153846154,28,True
2000-02-06,2000-02-12,994.4818681318682,989.7884615384615,997.6538461538461,28,True
2000-02-13,2000-02-19,994.3307692307692,989.0423076923076,996.9846153846153,28,True
2000-02-20,2000-02-26,993.7747252747253,991.3923076923077,996.7730769230769,28,True
2000-02-27,2000-03-04,994.3876373626373,991.6,997.2692307692308,28,True
2000-03-05,2000-03-11,994.35260989011,991.1692307692308,996.3769230769232,28,True
2000-03-12,2000-03-18,992.7138736263736,990.0692307692308,995.6461538461539,28,True
2000-03-19,2000-03-25,992.5638736263736,989.0769230769231,995.1153846153846,28,True
2000-03-26,2000-04-01,994.5263736263736,992.1076923076923,996.3115384615385,28,True
2000-04-02,2000-04-08,995.1651098901099,993.4884615384616,997.1615384615384,28,True
2000-04-09,2000-04-15,994.7624999999999,992.5269230769231,996.5884615384616,28,True
2000-04-16,2000-04-22,995.0326923076924,992.2153846153847,997.196153846154,28,True
2000-04-23,2000-04-29,995.6844780219781,992.6653846153847,998.1076923076923,28,True
2000-04-30,2000-05-06,994.8800824175823,992.6192307692307,997.85,28,True
2000-05-07,2000-05-13,996.6004120879121,994.5269230769231,998.6230769230768,28,True
2000-05-14,2000-05-20,996.0917582417582,992.7192307692308,998.0615384615385,28,True
2000-05-21,2000-05-27,998.1986263736263,995.5423076923076,1000.2346153846153,28,True
2000-05-28,2000-06-03,996.3629120879122,992.8653846153846,998.9269230769231,28,True
2000-06-04,2000-06-10,998.5592032967033,996.9346153846153,1000.2115384615385,28,True
2000-06-11,2000-06-17,996.2582417582418,993.2923076923076,999.2769230769231,28,True
2000-06-18,2000-06-24,998.1784340659341,995.8576923076923,999.8076923076924,28,True
2000-06-25,2000-07-01,996.6004120879121,994.2307692307692,998.2269230769231,28,True
2000-07-02,2000-07-08,997.1773351648352,994.6346153846154,999.3076923076924,28,True
2000-07-09,2000-07-15,998.9065934065933,994.9923076923077,1002.9538461538461,28,True
2000-07-16,2000-07-22,997.4258241758242,994.0,1000.0653846153847,28,True
2000-07-23,2000-07-29,998.1322802197802,994.9884615384616,1000.4884615384616,28,True
2000-07-30,2000-08-05,997.1756868131869,993.8692307692307,1000.2,28,True
2000-08-06,2000-08-12,998.4332417582418,995.6038461538461,1002.1730769230769,28,True
2000-08-13,2000-08-19,998.546978021978,995.8230769230769,1000.6307692307693,28,True
2000-08-20,2000-08-26,996.1023351648352,993.1923076923076,999.1769230769231,28,True
2000-08-27,2000-09-02,993.6309065934066,991.0346153846153,995.7961538461539,28,True
2000-09-03,2000-09-09,993.3570054945055,990.3576923076923,996.1269230769232,28,True
2000-09-10,2000-09-16,994.520879120879,991.3923076923077,998.3692307692307,28,True
2000-09-17,2000-09-23,996.0428571428572,992.5307692307692,998.8615384615384,28,True
2000-09-24,2000-09-30,995.1920329670329,990.3461538461539,999.0076923076923,28,True
2000-10-01,2000-10-07,995.8332417582417,993.8923076923077,998.4884615384616,28,True
2000-10-08,2000-10-14,995.3348901098901,992.8461538461539,997.696153846154,28,True
2000-10-15,2000-10-21,995.4947802197802,993.6423076923077,997.7923076923076,28,True
2000-10-22,2000-10-28,992.9277472527473,990.4538461538461,996.6076923076923,28,True
2000-10-29,2000-11-04,992.0789835164835,988.4346153846153,994.9538461538461,28,True
2000-11-05,2000-11-11,988.6905219780219,985.9961538461539,991.1615384615384,28,True
2000-11-12,2000-11-18,990.470054945055,985.9653846153847,995.4538461538461,28,True
2000-11-19,2000-11-25,994.6332417582418,990.2153846153847,997.4076923076923,28,True
2000-11-26,2000-12-02,994.8729395604396,992.5,997.0807692307692,28,True
2000-12-03,2000-12-09,994.4662087912087,991.5961538461539,998.1884615384615,28,True
2000-12-10,2000-12-16,992.4876373626374,988.5961538461539,996.9269230769231,28,True
2000-12-17,2000-12-23,993.7641483516484,990.2961538461539,997.5384615384615,28,True
2000-12-24,2000-12-30,994.6479395604396,992.6846153846153,997.0076923076923,28,True
2000-12-31,2001-01-06,995.1554945054944,991.8769230769232,997.6538461538461,28,True
2001-01-07,2001-01-13,993.2804945054944,990.5923076923077,995.5576923076924,28,True
2001-01-14,2001-01-20,995.3803571428572,991.6884615384615,998.9730769230769,28,True
2001-01-21,2001-01-27,996.960989010989,994.8538461538461,998.7461538461539,28,True
2001-01-28,2001-02-03,994.1848901098901,989.7423076923077,997.4076923076923,28,True
2001-02-04,2001-02-10,995.6667582417583,991.8230769230769,997.6576923076923,28,True
2001-02-11,2001-02-17,994.8806318681319,992.1115384615384,997.0307692307692,28,True
2001-02-18,2001-02-24,993.8364010989011,990.9807692307692,995.9692307692308,28,True
2001-02-25,2001-03-03,994.0293956043955,991.1692307692308,997.1230769230768,28,True
2001-03-04,2001-03-10,995.5083791208791,992.1,997.6,28,True
2001-03-11,2001-03-17,993.9833791208791,990.4423076923076,996.8961538461539,28,True
2001-03-18,2001-03-24,993.1133241758242,990.8423076923077,994.6807692307692,28,True
2001-03-25,2001-03-31,995.3384615384615,992.3576923076923,996.9692307692308,28,True
2001-04-01,2001-04-07,995.1112637362637,992.8461538461539,997.0653846153847,28,True
2001-04-08,2001-04-14,995.7711538461538,992.5346153846153,998.4692307692308,28,True
2001-04-15,2001-04-21,996.5817307692307,993.0730769230769,999.4961538461539,28,True
2001-04-22,2001-04-28,994.6537087912087,989.8769230769232,997.5192307692308,28,True
2001-04-29,2001-05-05,995.9284340659341,993.7538461538461,997.1576923076923,28,True
2001-05-06,2001-05-12,994.6076923076923,992.8346153846153,996.2076923076924,28,True
2001-05-13,2001-05-19,996.7682692307692,994.4384615384615,998.9653846153847,28,True
2001-05-20,2001-05-26,996.5839285714285,994.5461538461539,997.9307692307692,28,True
2001-05-27,2001-06-02,996.9557692307692,994.2153846153847,999.3576923076923,28,True
2001-06-03,2001-06-09,997.8755494505494,995.5384615384615,999.5615384615385,28,True
2001-06-10,2001-06-16,998.1125,993.6730769230769,1000.9423076923076,28,True
2001-06-17,2001-06-23,999.4406593406593,994.6153846153846,1002.9846153846153,28,True
2001-06-24,2001-06-30,1000.0138736263735,996.4615384615385,1002.9,28,True
2001-07-01,2001-07-07,998.5968406593407,995.4269230769231,1000.4769230769231,28,True
2001-07-08,2001-07-14,997.7593406593406,995.1153846153846,999.9346153846153,28,True
2001-07-15,2001-07-21,996.9491758241758,994.6576923076923,998.2230769230769,28,True
2001-07-22,2001-07-28,998.4623626373626,995.5,1001.5730769230769,28,True
2001-07-29,2001-08-04,998.5247252747253,995.3538461538461,1000.9038461538461,28,True
2001-08-05,2001-08-11,998.7203296703298,996.1115384615384,1000.6307692307693,28,True
2001-08-12,2001-08-18,997.2880494505495,994.4692307692308,999.8923076923077,28,True
2001-08-19,2001-08-25,997.7156593406593,994.3961538461539,1001.2,28,True
2001-08-26,2001-09-01,996.2541208791208,993.9076923076923,997.55,28,True
2001-09-02,2001-09-08,995.7615384615384,992.1769230769231,998.2884615384615,28,True
2001-09-09,2001-09-15,995.1957417582418,992.75,997.8153846153847,28,True
2001-09-16,2001-09-22,995.7278846153847,992.6846153846153,998.4153846153847,28,True
2001-09-23,2001-09-29,994.3847527472527,992.0153846153847,998.0,28,True
2001-09-30,2001-10-06,995.8098901098901,992.1,998.6153846153846,28,True
2001-10-07,2001-10-13,993.4177197802198,990.553846153846,996.2615384615384,28,True
2001-10-14,2001-10-20,992.5248626373626,990.7692307692308,996.1692307692308,28,True
2001-10-21,2001-10-27,994.0725274725274,991.3807692307693,996.9038461538461,28,True
2001-10-28,2001-11-03,992.5815934065934,990.3923076923077,995.0038461538461,28,True
2001-11-04,2001-11-10,993.5976648351649,988.8576923076923,997.2461538461539,28,True
2001-11-11,2001-11-17,992.9483516483516,989.7076923076924,995.1423076923077,28,True
2001-11-18,2001-11-24,992.9243131868133,989.4423076923076,995.55,28,True
2001-11-25,2001-12-01,991.0137362637363,987.0038461538461,994.2230769230769,28,True
2001-12-02,2001-12-08,991.4322802197802,988.6769230769231,993.7807692307692,28,True
2001-12-09,2001-12-15,991.2311813186814,987.7807692307692,994.1115384615384,28,True
2001-12-16,2001-12-22,992.446978021978,990.5423076923076,994.5192307692308,28,True
2001-12-23,2001-12-29,994.0098901098901,991.7653846153847,996.1846153846153,28,True
2001-12-30,2002-01-05,993.4125,989.8384615384616,996.303846153846,28,True
2002-01-06,2002-01-12,993.1506868131868,990.2576923076923,995.75,28,True
2002-01-13,2002-01-19,993.1479395604396,990.4961538461539,995.4538461538461,28,True
2002-01-20,2002-01-26,995.2141483516483,992.3384615384616,997.0730769230769,28,True
2002-01-27,2002-02-02,995.0188186813186,992.9115384615384,997.1384615384616,28,True
2002-02-03,2002-02-09,994.6425824175824,992.6807692307692,997.4346153846153,28,True
2002-02-10,2002-02-16,993.9690934065935,991.3961538461539,996.1384615384616,28,True
2002-02-17,2002-02-23,994.2578296703297,992.2807692307692,996.5076923076923,28,True
2002-02-24,2002-03-02,994.023489010989,990.2461538461539,997.3461538461539,28,True
2002-03-03,2002-03-09,994.535576923077,992.0,996.3230769230769,28,True
2002-03-10,2002-03-16,994.6653846153847,992.0692307692308,996.8461538461539,28,True
2002-03-17,2002-03-23,993.6594780219781,991.4,995.7115384615385,28,True
2002-03-24,2002-03-30,993.8508241758242,992.3807692307693,995.8,28,True
2002-03-31,2002-04-06,994.7961538461539,992.5038461538461,997.15,28,True
2002-04-07,2002-04-13,993.532142857143,990.4538461538461,996.0423076923076,28,True
2002-04-14,2002-04-20,994.290521978022,992.7346153846153,996.5461538461539,28,True
2002-04-21,2002-04-27,993.7993131868133,992.45,995.2884615384615,28,True
2002-04-28,2002-05-04,995.2489010989011,993.1769230769231,996.75,28,True
2002-05-05,2002-05-11,997.1125000000001,994.696153846154,998.6115384615384,28,True
2002-05-12,2002-05-18,996.1098901098901,993.9,998.7153846153847,28,True
2002-05-19,2002-05-25,995.8494505494506,993.7423076923077,997.4384615384615,28,True
2002-05-26,2002-06-01,995.4009615384615,992.7615384615384,998.5346153846153,28,True
2002-06-02,2002-06-08,996.2581043956044,994.8307692307692,997.55,28,True
2002-06-09,2002-06-15,998.046978021978,996.0230769230769,1000.6923076923076,28,True
2002-06-16,2002-06-22,999.7039835164835,996.6346153846154,1001.9423076923076,28,True
