timestamp,source,surface_pressure_pa,surface_pressure_hpa,maynas_grid_cells,source_file
2000-01-01 00:00:00,CFSR,98873.84615384616,988.7384615384616,26,pgbh06.gdas.19991226-19991231.grb2.nc.gz
2000-01-01 06:00:00,CFSR,99074.23076923077,990.7423076923077,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-01 12:00:00,CFSR,99294.23076923077,992.9423076923076,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-01 18:00:00,CFSR,99016.92307692308,990.1692307692308,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-02 00:00:00,CFSR,98816.53846153847,988.1653846153847,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-02 06:00:00,CFSR,99035.0,990.35,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-02 12:00:00,CFSR,99278.46153846153,992.7846153846153,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-02 18:00:00,CFSR,98967.69230769231,989.6769230769231,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-03 00:00:00,CFSR,98823.07692307692,988.2307692307692,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-03 06:00:00,CFSR,99030.38461538461,990.303846153846,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-03 12:00:00,CFSR,99224.61538461539,992.2461538461539,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-03 18:00:00,CFSR,98938.84615384616,989.3884615384616,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-04 00:00:00,CFSR,98751.53846153847,987.5153846153847,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-04 06:00:00,CFSR,98975.0,989.75,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-04 12:00:00,CFSR,99175.38461538461,991.7538461538461,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-04 18:00:00,CFSR,98944.23076923077,989.4423076923076,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-05 00:00:00,CFSR,98756.15384615384,987.5615384615385,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-05 06:00:00,CFSR,99018.07692307692,990.1807692307692,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-05 12:00:00,CFSR,99156.15384615384,991.5615384615385,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-05 18:00:00,CFSR,98995.38461538461,989.9538461538461,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-06 00:00:00,CFSR,98879.23076923077,988.7923076923076,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
