date,temperature_c_mean,temperature_c_min,temperature_c_max,dewpoint_c_mean,dewpoint_c_min,dewpoint_c_max,relative_humidity_pct_mean,relative_humidity_pct_min,relative_humidity_pct_max,specific_humidity_kgkg_mean,specific_humidity_kgkg_min,specific_humidity_kgkg_max,observations_6hourly,complete_day
2000-01-01,27.977941131591834,24.335925527719382,36.17165292593154,18.080191450852638,16.434613506610617,19.37692354642428,58.09423081691448,30.807692234332745,73.93076970027043,0.013155692310717244,0.011839884619873304,0.014223230787767814,4,True
2000-01-02,27.42003872211164,23.697040029672507,35.95422926682693,16.59971066988433,15.064998685396631,17.715384615384664,54.76634606948265,28.561538476210373,66.46153831481934,0.011994923115707934,0.010831807775852772,0.012899846196747743,4,True
2000-01-03,27.103393906813437,23.42000262920675,36.30177048903249,15.025288860614495,13.726924954927881,15.92923302283657,50.46442301456745,25.69999995598426,61.657692395723785,0.01082126926093434,0.00994457694916771,0.011469846233152427,4,True
2000-01-04,27.46891497098487,23.95842191256014,36.130423677884664,15.573076453575737,14.93846106896035,16.200000234750632,50.21346163749695,29.646153890169582,59.446153787466194,0.011212153870684024,0.010764730700220052,0.01164730777963996,4,True
2000-01-05,28.34732765784632,24.55880831204928,35.85188739483175,17.194710423396202,15.596155958909264,18.061536114032492,53.48365372877855,30.09230745755709,65.03076890798715,0.012446115393406496,0.011208576938280692,0.013105038517656235,4,True
2000-01-06,27.88107745830831,22.929154381385217,36.70261770395132,16.880864422137932,15.563076077974756,17.757691368689905,54.39423126440782,28.515384747431828,67.50769321735089,0.01218868269979094,0.011182769273336116,0.012926115403668238,4,True
2000-01-07,27.27778015136721,22.056156804011437,35.34561720628005,17.322115443303048,16.38461397611178,18.803846858097984,57.64134610616244,32.30769223433275,72.60384559631348,0.01254010576611528,0.01179300001464211,0.01375642311401092,4,True
2000-01-08,27.43153886061451,23.84650221604568,34.188846059945945,18.319711890587456,17.953845449594382,18.926920729417077,59.725000198070816,39.35000008803148,72.11923144413875,0.013354644197254227,0.013033153811612954,0.013861269224435091,4,True
2000-01-09,27.021163412240853,23.61315542367788,33.365614436222984,19.136346728985146,18.909233445387656,19.365386728140038,63.88173095996563,43.58461556067834,77.28461514986478,0.01405129806460956,0.013863653840067295,0.014235269278287888,4,True
2000-01-10,26.88852961613584,21.74069425142733,34.3612692025992,18.6449039752667,16.864234102689352,20.00384380634017,64.00000005501967,35.5384616118211,82.93846159714919,0.013644798094621644,0.012199461495933624,0.014778307746522702,4,True
2000-01-11,26.814134509746864,23.015880643404444,33.30176814152645,17.937016765887947,17.399609844501242,18.17692190317007,60.35576893733098,38.63076928945688,74.03461500314566,0.013051019211371358,0.012567961552681832,0.013262884583897315,4,True
2000-01-12,26.606030156062218,21.0743863619291,36.75930762657754,17.35288303081809,15.684227341872031,18.23845942570614,61.59615384615385,28.43846159714919,81.2076926598182,0.012570673098357825,0.011272500090014476,0.0132717307513723,4,True
