timestamp,source,u_wind_ms,v_wind_ms,wind_speed_ms,maynas_grid_cells,source_file
2000-01-01 00:00:00,CFSR,-0.2926923085290652,-0.6884615342490948,0.748096298355159,26,pgbh06.gdas.19991226-19991231.grb2.nc.gz
2000-01-01 06:00:00,CFSR,-0.7007692214101553,-1.0373076865306268,1.2518325519858142,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-01 12:00:00,CFSR,-0.43076922486607844,-1.0469230734384978,1.132082173161309,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-01 18:00:00,CFSR,0.04846153322320718,-1.7996153739782481,1.8002677618791083,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-02 00:00:00,CFSR,-0.316153846681118,-0.6557692305113261,0.7280017434434375,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-02 06:00:00,CFSR,-0.559615382208274,-1.2692307692307692,1.3871251283017847,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-02 12:00:00,CFSR,-0.3849999959795521,-1.4157692239834712,1.4671835237907407,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-02 18:00:00,CFSR,-0.34730769221026164,-1.9153846089656537,1.946617793335643,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-03 00:00:00,CFSR,-0.5599999969395307,-0.9373076926343716,1.0918542518321042,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-03 06:00:00,CFSR,-0.7942307751912338,-0.9330769207041997,1.2253305938446568,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-03 12:00:00,CFSR,-0.3057692296659717,-1.3196153732446523,1.3545772606662732,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-03 18:00:00,CFSR,-0.05076923013593142,-2.107692301273346,2.10830366683159,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-04 00:00:00,CFSR,-0.29846154010066617,-1.125384617310304,1.1642894089520528,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-04 06:00:00,CFSR,-0.32192308011536414,-1.1742307727153485,1.2175600096515358,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-04 12:00:00,CFSR,-0.21923076827079058,-1.3199999985786586,1.3380815094770049,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-04 18:00:00,CFSR,-0.4107692376352273,-2.1611538529396057,2.1998448451341126,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-05 00:00:00,CFSR,0.4423076823497048,-0.1969230783959994,0.484164005963397,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-05 06:00:00,CFSR,0.18115384633151385,-0.7623076870177801,0.7835366779718097,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-05 12:00:00,CFSR,0.024230769333931115,-0.9265384605297675,0.9268552470711842,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-05 18:00:00,CFSR,-0.2750000049575017,-1.4176923086007054,1.4441178915144786,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-06 00:00:00,CFSR,0.9042307794667207,0.08653845838629283,0.9083623766508989,26,pgbh06.gdas.20000101-20000105.grb2.nc.gz
2000-01-06 06:00:00,CFSR,0.9911538454202505,-0.27346153643268806,1.0281863436165044,26,pgbh06.gdas.20000106-20000110.grb2.nc.gz
