order,seasonal_order,SARIMA_MAE,SARIMAX_MAE,MAE_change,MAE_pct_change,SARIMA_RMSE,SARIMAX_RMSE,RMSE_change,RMSE_pct_change
"(1, 0, 0)","(1, 0, 0, 52)",12.055635496291778,20.467023056818928,8.41138756052715,69.77141572598498,26.210619759412037,32.84422878159534,6.633609022183304,25.30885985555998
"(2, 0, 0)","(1, 0, 0, 52)",12.16288676786307,20.74741248628724,8.58452571842417,70.57967308473437,26.494422937498776,33.32275624831842,6.8283333108196445,25.772719515076474
"(1, 0, 1)","(1, 0, 0, 52)",12.05768057993981,20.643814431512062,8.586133851572253,71.20883485549354,26.386259457772375,33.14456801030454,6.758308552532164,25.612984528359995
